Last Updated: 1/12/2017 2:09:05 AM
OIL	SAP	NAOH (oz.)	KOH (oz.)	PRODUCT_ID
Almond Butter, Sweet	90 - 140	0.082	0.115	BUTSWALMHYDUS20
Almond Oil, Sweet	190 - 200	0.139	0.195	OILSWALMCPIT614
Almond Oil, Sweet	190 - 200	0.139	0.195	OILSWALMCPRFIT64
Aloe Vera Butter	220 - 260	0.171	0.24	BUTALOEUS20
Apricot Kernel Butter	130 - 145	0.098	0.138	BUTAPRKER
Apricot Kernel Oil	180 - 200	0.135	0.19	OILAPRICOTCPIT64
Apricot Kernel Oil	190 - 200	0.139	0.195	OILAPRICOTCPFWAU831
Apricot Kernel Oil	185 - 195	0.135	0.19	OILAPRICOTCPRFIT614
Apricot Kernel Oil, Organic	185 - 195	0.135	0.19	ORGOILAPRKERNTR623
Apricot Kernel Oil, Organic	185 - 195	0.135	0.19	ORGOILAPRKNLTR818
Argan Oil, Virgin Organic	180 - 200	0.135	0.19	ORGOILARGVIRDDMA431
Argan Oil, Virgin Organic 	180 - 200	0.135	0.19	ORGOILARGVIRMA375
Avocado Butter	177 - 198	0.134	0.188	BUTAVOC
Avocado Oil	177 - 198	0.134	0.188	OILAVOCCPRFIL200
Avocado Oil	177 - 198	0.134	0.188	OILAVOCCPIT64
Avocado Oil, Organic	185 - 200	0.138	0.193	ORGOILAVOCPVIRIL200
Avocado Oil, Organic 	177 - 198	0.134	0.188	ORGOILAVOXX64
Avocado Oil, Organic	177 - 226	0.144	0.202	ORGOILAVOCPVIRXX64
Avocado Oil, Refined	185 - 230	0.148	0.208	OILAVOCRBDWMX646
Avocado Oil, Virgin	177 - 198	0.134	0.188	OILAVOCEXPEVFUS878
Babassu Oil	245 - 256	0.179	0.251	ORGOILBABASSUEXPNL111
Baobab Oil	180 - 200	0.135	0.19	OILBAOBABCPZW789
Beef Tallow	196	0.14	0.196	BEEFTALLOW
Black Cumin Seed Oil	185 - 205	0.139	0.195	OILBLKCUMINCPIL200
Black Cumin Seed Oil, Organic	185 - 205	0.139	0.195	ORGOILBLKCUMIL200
Black Currant Seed Oil	185 - 195	0.135	0.19	OILBLKCURR15GLACPCN569
Borage Oil	175 - 196	0.133	0.186	OILBORAGECPCA208
Borage Oil	175 - 196	0.133	0.186	OILBORAGE22GLACPCN560
Borage Oil	175 - 196	0.133	0.186	OILBORAGEPP64
Borage Oil, Organic	170 - 215	0.138	0.193	ORGOILBORAGECPCN569_100
Borage Oil, Organic, Refined, 20% GLA	185 - 195	0.135	0.19	ORGOILBORCPREF20GLAEU742
Borage Oil, Organic, Virgin, 20% GLA	185 - 195	0.135	0.19	ORGOILBORCPVIR20GLAEU742
Borage Oil, Refined, 20% GLA	185 - 195	0.135	0.19	OILBORCPREF20GLAEU742
Borage Oil, Refined, 22% GLA	185 - 195	0.135	0.19	OILBORCPREF22GLAEU742
Borage Oil, Virgin, 20% GLA	185 - 195	0.135	0.19	OILBORCPVIR20GLAEU742
Brazil Nut Oil, Organic	192 - 202	0.14	0.197	ORGOILBRZLNTPR664
Brazil Nut Oil, Organic	186 - 196	0.136	0.191	ORGOILBRAZILEXPPE664_100
Buriti Oil	185 - 240	0.152	0.213	OILBURITIEXPBR243
Camelina Oil	185 - 197	0.136	0.191	OILCAMIL
Candelilla Wax Pellets	43 - 65	0.039	0.054	WAXCANDPELLUS67
Canola Oil	173	0.123	0.173	CANOLAOIL
Caprylic Capric Triglyceride MCT	325 - 345	0.239	0.335	OILMCT6040DE836
Caprylic Capric Triglycerides MCT Oil	325 - 345	0.239	0.335	OILMCT6040DE865
Carnauba Wax Flakes	78 - 95	0.062	0.087	WAXCARNPRILLUS67
Carrot Oil	190	0.135	0.19	OILCARROT
Castor Oil, Jamaican Black	176 - 186	0.129	0.181	OILCASTRBLKIN832
Castor Oil, Jamaican Black	177 - 185	0.129	0.181	OILCASTORBLKUS784
Cherry Kernel Oil	180 - 200	0.135	0.19	OILCHERRYSERFIT64
Cocoa Butter, Deodorized	188 - 200	0.138	0.194	BUTCOCOADEODUS397
Cocoa Butter, Pure Prime Pressed	188 - 200	0.138	0.194	BUTCOCOAPPPID47
Cocoa Butter, Ultra Refined	188 - 200	0.138	0.194	BUTCOCOAULTRA
Cocoa Oil	173 - 188	0.129	0.181	OILCOCOA
Coconut Oil 76 degree	250 - 264	0.183	0.257	OILCOCNUTEXPRBDPH110
Coconut Oil, Organic	250 - 265	0.184	0.258	ORGOILCOCPH64
Coconut Oil, Organic, Virgin	250 - 265	0.184	0.258	ORGOILVIRCOCCPIN775
Coconut Oil, Virgin, Organic	248 - 268	0.184	0.258	ORGOILVCOCPCIN829
Coffee Bean Butter	175 - 200	0.134	0.188	BUTCOFFEEUS20
Corn Oil	190	0.135	0.19	CornOil
Cottonseed Oil	192	0.137	0.192	CottonseedOil
Cucumber Seed Oil	180 - 190	0.132	0.185	OILCUCSDCPCL497
Cupuacu Butter, Refined	210 - 235	0.159	0.223	BUTCUPRFBR243
Cupuacu Butter, Refined	188 - 198	0.138	0.193	BUTCUPULTRFUS20
Cupuacu Butter, Ultra Refined	210 - 235	0.159	0.223	BUTCUPULTRFBR243
Deer Tallow	195	0.139	0.195	DeerTallow
Emu Oil, Clear AEA Certified	185 - 200	0.138	0.193	OILEMUCLEAR
Evening Primrose Oil	180 - 195	0.134	0.188	OILEVEN95
Evening Primrose Oil 10% GLA RBD & Winterized	180 - 195	0.134	0.188	OILEPO10GLACPRBDWCN560
Evening Primrose Oil Refined 9% GLA	180 - 195	0.134	0.188	OILEPOCPREF9GLAEU742
Flax Seed Oil	186 - 196	0.136	0.191	OILFLAXCPVIRCA894
Flax Seed Oil, Organic	186 - 196	0.136	0.191	ORGOILFLAXCPVIRCA894
Fractionated Coconut Oil	325 - 345	0.239	0.335	OILFCO6040SG837
Fractionated Coconut Oil	335 - 360	0.248	0.348	OILFCOUS542
Goat Tallow	195	0.139	0.195	GOATTALLOW
Grape Seed Oil	180 - 200	0.135	0.19	OILGRAPECPCL64
Grape Seed Oil, Chardonnay	176 - 194	0.132	0.185	OILCHARDCPUS54
Grape Seed Oil, Organic	185 - 200	0.138	0.193	ORGOILGRAPESDCPDDCL497_100
Grape Seed Oil, Organic 	185 - 200	0.138	0.193	ORGOILGRPSDCPVIRCL350
Grape Seed Oil, Organic	185 - 200	0.138	0.193	ORGOILGRAPESDCPRFCL497_100
Grape Seed Oil, Organic	185 - 200	0.138	0.193	ORGOILGRPSDCPVIRCL496
Grape Seed Oil, Organic 	185 - 200	0.138	0.193	ORGOILGRPSDCPVIRCL64
Grape Seed Oil, Riesling	185 - 200	0.138	0.193	OILREISLINGCPUS54
Hazelnut Oil	187 - 195	0.136	0.191	OILHAZELEXPRBDWIT64
Hemp Seed Butter	175 - 200	0.134	0.188	BUTHEMP
Hemp Seed Oil	190 - 195	0.138	0.193	OILHEMPCPVIRCA64
Hemp Seed Oil Refined	188 - 194	0.136	0.191	OILHEMPCPREFEU742
Hemp Seed Oil, Organic	190 - 195	0.138	0.193	ORGOILHEMPCPCA64
Hemp Seed Oil, Organic	190 - 195	0.138	0.193	ORGOILHEMPCPCA208
Hemp Seed Oil, Virgin	188 - 194	0.136	0.191	OILHEMPCPVIRFEU742
Hemp Seed Oil, Virgin	190 - 195	0.138	0.193	OILHEMPEXPVIRFCA863
High Linoleic Safflower Oil	180 - 195	0.134	0.188	OILSAFFHLCPFWAU831
Illipe Butter	188 - 200	0.138	0.194	BUTILLIPE
Jojoba Oil, Golden, Organic	90 - 95	0.066	0.093	ORGOILJOJOBANATIL200
Jojoba Oil, Golden, Organic	86 - 96	0.065	0.091	ORGOILJOJOBA
Jojoba, Clear	90 - 93	0.066	0.092	OILJOJOBACLRIL200
Jojoba, Natural	90 - 95	0.066	0.093	OILJOJOBANATIL851
Jojoba, Organic, Clear	90 - 95	0.066	0.093	ORGOILJOJOCLRIL200
Karanja Oil, Organic	186 - 196	0.136	0.191	ORGOILKRNJCPURFIN829
Kokum Butter	187 - 193	0.135	0.19	BUTKOKUM
Kukui Nut Oil	190 - 195	0.138	0.193	OILKUKUIPP64
Kukui Nut Oil	185 - 195	0.135	0.19	OILKUKUICPRBDDK64
Kukui Nut Oil	185 - 195	0.135	0.19	OILKUKUIEXPRBDWNL64
Lanolin Oil	90 - 110	0.071	0.1	LANOIL
Lard	193	0.138	0.193	LARD
Lecithin Liquid	180 - 200	0.135	0.19	LECITHINSOYUS109
Macadamia Nut Butter	175 - 200	0.134	0.188	BUTMAC
Macadamia Nut Oil	190 - 200	0.139	0.195	OILMACCPFWAU831
Macadamia Nut Oil	185 - 205	0.139	0.195	OILMACCPUS83
Macadamia Nut Oil	190 - 200	0.139	0.195	OILMACKE64
Macadamia Nut Oil, Organic	190 - 200	0.139	0.195	ORGOILMACCPVIRIN64
Mango Butter	183 - 198	0.136	0.191	BUTMANGO
